"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Smoke","Авторизация","Регистрация","0","0","1","0","0"
"Smoke","Авторизация","Логин","0","0","1","0","0"
"Smoke","Авторизация","Текущий пользователь","0","0","1","0","0"
"Negative","Авторизация","Регистрация","0","0","2","0","0"
"Negative","Посты","Чужие сущности","0","0","1","0","0"
"Smoke","Посты","Создание поста","0","0","1","0","0"
"Negative","Администрирование","Разграничение прав","0","0","3","0","0"
"Smoke","Посты","Лента подписок","0","0","1","0","0"
"E2E","Приватный аккаунт","Запрос на подписку: pending → accepted","0","0","1","0","0"
"Negative","Посты","Границы контента","0","0","2","0","0"
"Smoke","Система","Доступность стенда","0","0","1","0","0"
"Smoke","Авторизация","Обновление токена","0","0","1","0","0"
"E2E","Активный пользователь","Пост → реакция → комментарий → уведомление → удаление","0","0","1","0","0"
"Negative","Авторизация","Логин","0","0","2","0","0"
"Negative","Авторизация","Обновление токена","0","0","1","0","0"
"Smoke","Посты","Лента","0","0","1","0","0"
"E2E","Администратор","Пост → реакция → комментарий → уведомление → удаление","0","0","1","0","0"
"E2E","Приватный аккаунт","Пост → реакция → комментарий → уведомление → удаление","0","0","1","0","0"
"Negative","Посты","Несуществующие сущности","0","0","1","0","0"
